,,Not checked,Pass,Fail,Blocked,N/A,Automated
TC077, Validate Managed Teams Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""Managed Teams"" field.
2. Click on a team name.
3. Click on multiple team names.
4. Click on the ""X"" mark at the end of the team names.","1. Dropdown with existing teams should open.
2. Selected team should be visible inside the field.
3. User should be able to add multiple teams →  Team names should be visible inside the Managed Teams field.
4. Teams should disappear from the Managed Teams field.",,Pass,
TC078,Verify Search Functionality in Managed Teams Dropdown,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on the ""Managed Teams"" field.
2. Type an existing team name.
3. Type a non-existing team name.","1a. Dropdown with team options should open.
1b. Managed Teams field should become editable.
2. Matching team should be visible in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,
TC079,Validate Managed Teams Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on the ""Managed Teams"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with team options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional team options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
TC080,Validate Linked Behavior Between Teams and Managed Teams Dropdowns,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on Managed Teams dropdown.
2. Select a team from the dropdown.
3. Click on ""x"" mark at the end of the team name in the Team dropdown.","1. Dropdown with all existing teams should be visible.
2a. Selected team name should be visible inside the Managed Teams dropdown.
2b. Selected team name should be visible inside the Team dropdown.
3a. Team name should not be visible inside the Team dropdown.
3b. Team name should not be visible inside the Managed Teams dropdown.",,Pass,
TC081, Validate Manager Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""Manager"" field.
2. Click on a manager name.
3. Click on the ""X"" mark at the end of the manager name.","1. Dropdown with existing managers should open.
2. Selected manager should be visible inside the field.
3. Manager field should be empty.",,Pass,
TC082,Verify Search Functionality in Manager Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on the ""Manager"" field.
2. Type an existing manager name.
3. Type a non-existing manager name.","1a. Manager dropdown with options should open.
1b. Manager field should become editable.
2. Matching manager name should be displayed in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,
TC083,Validate Manager Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on the ""Manager"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with manager options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional manager options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
TC084,Validate User cannot be assigned as their own manager,The user is logged in as an Admin and is on the Edit User page of a HR user,"1.Click on the ""Manager"" field.
2. Type the name of the user currently being edited.
3. Select the user's own name from the dropdown list.
4. Click on ""Update User"" btn.","1. Dropdown with manager options should be visible and the field should become editable.
2. Field should accept valid input and the user should be visible inside the dropdown.
3. User's name should be visible inside the ""Manager"" field.
4. ""You cannot assign a direct report as a manager."" error toast should be visible.
",,Pass,
TC085,Validate Roles Required Field,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Observe the Role section in the Access & Roles section
2. Uncheck HR role.
3. Click on Update User btn.","1a. Role section should be visible.
1b. HR role should be checked by default.
2. HR role should be unchecked.
3. ""Role is required"" message should be displayed under roles.",https://ensemble-ro.atlassian.net/browse/HOOP-442,Pass,
TC086,Validate Status Checkbox Functionality - Inactive User,The user is logged in as an Admin and is on the Edit User page of a HR Active user,"1. Click on Active checkbox.
2. Click on the ""Update User"" button.
3. Sign in with the inactive user.","1. Chekcbox is unchecked.
2. The user is successfully created and appears in the user list.
3. The inactive user is unable to sign in, on the login page ""Account is disabled, contact your administrator.
"" message is shown.",,Pass,No
TC087,Validate Status Checkbox Functionality - Active User,The user is logged in as an Admin and is on the Edit User page of a HR Active user,"1. Verify Active checkbox to be checked.
2. Click on the ""Update User"" button.
3. Sign in with the created user.","1. Chekcbox is unchecked.
2. The user is successfully created and appears in the user list with Active badge.
3. The active user is able to sign in the active account.",,Pass,
TC088,"Validate ""Update User"" btn functionality",The user is logged in as an Admin and is on the Edit User page of a HR Active user,"1. Clear all inputs.
2. Complete required inputs with different data.
3. In the ""Acces & Roles"" section check Employee checkbox.
4. Click on ""Update User"" btn.","1. Inputs data should be deleted and no data should be present in the input fields.
2. Input fields should accept new entered data.
3. Employee checkbox should remain checked.
4a. User should be redirected to the Users page.
4b. ""User has been successfully updated!"" toast should be visible",,Pass,Yes
TC089,Cancel Edit Hr User,The user is logged in as an Admin and is on the Edit User page,"1. Clear all inputs.
2. Complete required inputs with different data.
3. In the ""Acces & Roles"" section check employee checkbox.
4. Click on ""Cancel"" btn
5. Search for the same user name.
6. Click on action btn.
7. Click on ""Edit"" btn.
8. Observe user details.","1. Inputs data should be deleted and no data should be present in the input fields.
2. Input fields should accept new entered data.
3. Employee checkbox should remain checked.
4. User should be redirected to the Users page.
5. Searched user should be displayed in the Users table.
6. The action menu with Edit, View and Delete options is displayed.
7. User should be redirected to Edit User page.
8. Cleared input should be restored in all input fields, without any changes to the user's information.",,Pass,No
Admin - User Edit Page - Employee,,,,,,,
TC090,"Verify access to ""User Edit"" page",The user is logged in as an Admin,"1. Navigate to the ""Users"" menu.
2. Click/Hover on the action button.
3. Click on ""Edit"" button from action menu.","1. The user successfully accesses the ""Users"" page.
2. The action menu with Edit, View and Delete options is displayed.
3. User successfully lands on User edit page.",,Pass,No
TC091,Page UI,The user is logged in as an Admin and is on the Edit User page,1. Observe the page,"1a. Left navigation should be visible  → Navigation is correctly displayed.  
1b. Users section should be highlighted  → The ""Users"" section is visually highlighted.  
1c. Page header should be visible. → The correct page title ""Edit User"" is displayed.
1d. The Basic Information section should be visible → Fields for First Name, Last Name, Email, and Password labels should be visible.
1e. ""Leave blank to keep current password."" text should be visible and displayed underneath Password input field.
1f. The Organizational details section should be visible → Dropdown Fields for Department, Team and Manager labels and inputs are displayed 
 1g. Access & Roles section should be visible → Role checkboxes for Admin, Company Manager, Employee and HR should be visible. (Employess checked by default)
1h. Status section with Active checkbox checked by default should be visible.
1i.  Action buttons should be visible → ""Cancel"" and ""Update User"" buttons are displayed and clickable.
",,Pass,To Update
TC092,Display selected user data,The user is logged in as an Admin and is on the Edit User page,1. Observe the page,"1a. The Basic Information section should be visible → Fields for First Name, Last Name, Email, and Password inputs are displayed with user's information.
1b. The Organizational details section should be visible → Dropdown Fields for Department, Managed Departments,Team, Managed Teams and Manager are displayed with the user's info if that is the case.
1c. The user role should be display corectly. ",,Pass,Yes
TC093,"Validate ""First Name"" required  field",The user is logged in as an Admin and is on the Edit User page,"1. Click on ""First Name"" field.
2. Delete the input.
3. Click ""Update User"" button.
4. Observe ""Firs Name"" field.","1. Field border becomes highlighted in purple.
2. The input should be deleted successfully, input field remaining empty.
3. Btn should be visible and clickable.
4a. ""First Name"" filed border becomes highlighted in red color.
4b. ""First name is required"" message appears in red color under the field.
4c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC094,"Validate ""Last Name"" required  field",The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Last Name"" field.
2. Delete the input.
3. Click ""Update User"" button.
4. Observe ""Last Name"" field.","1. Field border becomes highlighted in purple.
2. The input should be deleted successfully, input field remaining empty.
3. Btn should be visible and clickable.
4a. ""Last Name"" filed border becomes highlighted in red color.
4b. ""Last name is required"" message appears in red color under the field.
4c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC095,"Validate ""Email"" required  field",The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Email"" field.
2. Delete the input.
3. Click ""Update User"" button.
4. Observe ""Email"" field.","1. Field border becomes highlighted in purple.
2. The input should be deleted successfully, input field remaining empty.
3. Btn should be visible and clickable.
4a. ""Email"" filed border becomes highlighted in red color.
4b. ""Email is required"" message appears in red color under the field.
4c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC096,Invalid Email,The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Email"" field.
2. Add an invalid email format (e.g without ""@"").
3. Click ""Update User"" button.","1. Field border becomes highlighted in purple.
2. New data is correctly added and remain visible.
3. Btn should be visible and clickable.
4. Error message ""Email is invalid"" toast is shown.",,Pass,Yes
TC097,Duplicate Email,The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Email"" field.
2. Add a duplicate email.
3. Click ""Update User"" button.","1. Field border becomes highlighted in purple.
2. New data is correctly added and remain visible.
3. Btn should be visible and clickable.
4. Error message ""Email must be unique"" is shown.",,Pass,Yes
TC098,Invalid Password (minimum required characters),The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Password"" field.
2. Fill field with less than 8 characters.
3. Click ""Create User"" button.
4. Observe ""Password"" input field.
","1. Field border becomes highlighted in purple.
2. Characters are added to the field as dots (hidden).
3. Btn should be visible and clickable.
4a. Password field border is red highlighted.
4b. Exclamation mark icon should be displayed at the end of the input field.
4c. ""Password must be at least 8 characters"" error message is shown.
",,Pass,Yes
TC099,Validate show/hide password,The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Password"" field.
2. Add valid password.
3. Click on hide/show (eye) icon at the end of the password field.","1. Field border becomes highlighted in purple.
2. Input is correctly added, characters are hidden and displayed as dots. 
3. Password characters are now visible and hide/show icon changes indicating that characters are no longer hidden.",,Pass,Yes
TC100, Validate Department Dropdown Field,User is logged in as Admin and is on the Create User page.,"1. Click on ""Department"" field.
2. Click on a department name.
3. Click on the ""X"" mark at the end of the department name.","1. Dropdown with existing deaprtments should open.
2. Selected department should be visible inside the field.
3. Department field should be empty.",,Pass,Yes
TC101, Verify Search Functionality in Department Dropdown Field,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Department"" field.
2. Type an existing department.
3. Type a non-existing department.","1a. Department dropdown with options should open.
1b. Department field should become editable.
2. Matching department should be displayed in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",,Pass,Yes
TC102,Validate Department Dropdown List Behavior,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Department"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with department options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional department options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,Yes
TC103, Validate Managed Departments Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on ""Managed Departments"" field.
2. Click on a department name.
3. Click on multiple department names.
4. Click on the ""X"" mark at the end of the department names.","1. Dropdown with existing deaprtments should open.
2. Selected department should be visible inside the field.
3. User should be able to add multiple departments  →  Department names should be visible inside the Managed Departments field.
4. Departments should disappear from the Managed Departments field.",,Pass,
TC104,Verify Search Functionality in Managed Departments Dropdown,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on the ""Managed Departments"" field.
2. Type an existing department.
3. Type a non-existing department.","1a. Dropdown with department options should open.
1b. Managed Departments field should become editable.
2. Matching department should be visible in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,
TC105,Validate Managed Departments Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on the ""Managed Departments"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with department options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional department options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
TC106,Validate Linked Behavior Between Departments and Managed Departments Dropdowns,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on Managed Departments dropdown.
2. Select a departments from the dropdown.
3. Click on ""x"" mark at the end of the department name in the Departments dropdown.","1. Dropdown with all existing departments should be visible.
2a. Selected department name should be visible inside the Managed Departments dropdown.
2b. Selected department name should be visible inside the Departments dropdown.
3a. Department name should not be visible inside the Departments dropdown.
3b. Department name should not be visible inside the Managed Departments dropdown.",,Pass,
TC107, Validate Team Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on ""Team"" field.
2. Click on a team name.
3. Click on the ""X"" mark at the end of the team name.","1. Dropdown with existing teams should open.
2. Selected team should be visible inside the field.
3. Team field should be empty.",,Pass,
TC108,Verify Search Functionality in the Team Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on the ""Team"" field.
2. Type an existing team name.
3. Type a non-existing team name.","1a. Team dropdown with options should open.
1b. Team field should become editable.
2. Matching team name should be visible in the dropdown.
3. ""No options available"" message should be visible inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,
TC109,Validate Team Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on the ""Team"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with team options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional team options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
TC110, Validate Managed Teams Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on ""Managed Teams"" field.
2. Click on a team name.
3. Click on multiple team names.
4. Click on the ""X"" mark at the end of the team names.","1. Dropdown with existing teams should open.
2. Selected team should be visible inside the field.
3. User should be able to add multiple teams →  Team names should be visible inside the Managed Teams field.
4. Teams should disappear from the Managed Teams field.",,Pass,
TC111,Verify Search Functionality in Managed Teams Dropdown,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on the ""Managed Teams"" field.
2. Type an existing team name.
3. Type a non-existing team name.","1a. Dropdown with team options should open.
1b. Managed Teams field should become editable.
2. Matching team should be visible in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,
TC112,Validate Managed Teams Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on the ""Managed Teams"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with team options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional team options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
TC113,Validate Linked Behavior Between Teams and Managed Teams Dropdowns,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on Managed Teams dropdown.
2. Select a team from the dropdown.
3. Click on ""x"" mark at the end of the team name in the Team dropdown.","1. Dropdown with all existing teams should be visible.
2a. Selected team name should be visible inside the Managed Teams dropdown.
2b. Selected team name should be visible inside the Team dropdown.
3a. Team name should not be visible inside the Team dropdown.
3b. Team name should not be visible inside the Managed Teams dropdown.",,Pass,
TC114, Validate Manager Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on ""Manager"" field.
2. Click on a manager name.
3. Click on the ""X"" mark at the end of the manager name.","1. Dropdown with existing managers should open.
2. Selected manager should be visible inside the field.
3. Manager field should be empty.",,Pass,
TC115,Verify Search Functionality in Manager Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on the ""Manager"" field.
2. Type an existing manager name.
3. Type a non-existing manager name.","1a. Manager dropdown with options should open.
1b. Manager field should become editable.
2. Matching manager name should be displayed in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,
TC116,Validate Manager Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Click on the ""Manager"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with manager options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional manager options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
TC117,Validate User cannot be assigned as their own manager,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1.Click on the ""Manager"" field.
2. Type the name of the user currently being edited.
3. Select the user's own name from the dropdown list.
4. Click on ""Update User"" btn.","1. Dropdown with manager options should be visible and the field should become editable.
2. Field should accept valid input and the user should be visible inside the dropdown.
3. User's name should be visible inside the ""Manager"" field.
4. ""You cannot assign a direct report as a manager."" error toast should be visible.
",,Pass,
TC118,Validate Roles Required Field,The user is logged in as an Admin and is on the Edit User page of a Employee user,"1. Observe the Role section in the Access & Roles section
2. Uncheck Employee role.
3. Click on Update User btn.","1a. Role section should be visible.
1b. Employee role should be checked by default.
2. Employee role should be unchecked.
3. ""Role is required"" message should be displayed under roles.",,Pass,
TC119,Validate Status Checkbox Functionality - Active User,The user is logged in as an Admin and is on the Edit User page to a Active user,"1. Verify Active checkbox to be checked.
2. Click on the ""Update User"" button.
3. Sign in with the created user.","1. Chekcbox is unchecked.
2. The user is successfully created and appears in the user list with Active badge
3. The active user is able to sign in the active account.",,Pass,
TC120,Validate Status Checkbox Functionality - Inactive User,The user is logged in as an Admin and is on the Edit User page to a Active user,"1. Click on Active checkbox.
2. Click on the ""Update User"" button.
3. Sign in with the inactive user.","1. Chekcbox is unchecked.
2. The user is successfully created and appears in the user list.
3. The inactive user is unable to sign in, on the login page ""Account is disabled, contact your administrator.
"" message is shown.",,Pass,No
TC121,"Validate ""Update User"" btn functionality",The user is logged in as an Admin and is on the Edit User page to a Active user,"1. Clear all inputs.
2. Complete required inputs with different data.
3. In the ""Acces & Roles"" section check Hr checkbox.
4. Click on ""Update User"" btn.","1. Inputs data should be deleted and no data should be present in the input fields.
2. Input fields should accept new entered data.
3. Hr checkbox should remain checked.
4a. User should be redirected to the Users page.
4b. ""User has been successfully updated!"" toast should be visible",,Pass,
TC122,Cancel Edit Basic User,The user is logged in as an Admin and is on the Edit User page,"1. Clear all inputs.
2. Complete required inputs with different data.
3. In the ""Acces & Roles"" section check Hr checkbox.
4. Click on ""Cancel"" btn
5. Search for the same user name.
6. Click on action btn.
7. Click on ""Edit"" btn.
8. Observe user details.","1. Inputs data should be deleted and no data should be present in the input fields.
2. Input fields should accept new entered data.
3. Hr checkbox should remain checked.
4. User should be redirected to the Users page.
5. Searched user should be displayed in the Users table.
6. The action menu with Edit, View and Delete options is displayed.
7. User should be redirected to Edit User page.
8. Cleared input should be restored in all input fields, without any changes to the user's information.",,Pass,No
Admin - User Edit Page - Admin,,,,,,,
TC123,"Verify access to ""User Edit"" page",The user is logged in as an Admin,"1. Navigate to the ""Users"" menu.
2. Click/Hover on the action button.
3. Click on ""Edit"" button from action menu.","1. The user successfully accesses the ""Users"" page.
2. The action menu with Edit, View and Delete options is displayed.
3. User successfully lands on User edit page.",,Pass,No
TC124,Page UI,The user is logged in as an Admin and is on the Edit User page,1. Observe the page,"1a. Left navigation should be visible  → Navigation is correctly displayed.  
1b. Users section should be highlighted  → The ""Users"" section is visually highlighted.  
1c. Page header should be visible. → The correct page title ""Edit User"" is displayed.
1d. The Basic Information section should be visible → Fields for First Name, Last Name, Email, and Password labels are displayed
1e. ""Leave blank to keep current password."" text should be visible and displayed underneath Password input field.
1f. The Organizational details section should be visible → Dropdown Fields for Department, Team and Manager labels and inputs are displayed 
 1g. Access & Roles section should be visible → Role checkboxes for Admin, Company Manager, Employee, HR should be visible (Admin checked by default)
1h. Status section with Active checkbox checked or unchecked is visible.
1i.  Action buttons should be visible → ""Cancel"" and ""Update User"" buttons are displayed and clickable.
",,Pass,Yes
TC125,Display selected user data,The user is logged in as an Admin and is on the Edit User page,1. Observe the page,"1a. The Basic Information section should be visible → Fields for First Name, Last Name, Email, and Password inputs are displayed with user's information.
1b. The Organizational details section should be visible → Dropdown Fields for Departments, Managed Departments, Teams, Managed Teams and Manager are displayed with the user's info if that is the case.
1c. The user role should be display corectly ",,Pass,Yes
TC126,"Validate ""First Name"" required  field",The user is logged in as an Admin and is on the Edit User page,"1. Click on ""First Name"" field.
2. Delete the input.
3. Click ""Update User"" button.
4. Observe ""Firs Name"" field.","1. Field border becomes highlighted in purple.
2. The input should be deleted successfully, input field remaining empty.
3. Btn should be visible and clickable.
4a. ""First Name"" filed border becomes highlighted in red color.
4b. ""First name is required"" message appears in red color under the field.
4c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC127,"Validate ""Last Name"" required  field",The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Last Name"" field.
2. Delete the input.
3. Click ""Update User"" button.
4. Observe ""Last Name"" field.","1. Field border becomes highlighted in purple.
2. The input should be deleted successfully, input field remaining empty.
3. Btn should be visible and clickable.
4a. ""Last Name"" filed border becomes highlighted in red color.
4b. ""Last name is required"" message appears in red color under the field.
4c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC128,"Validate ""Email"" required  field",The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Email"" field.
2. Delete the input.
3. Click ""Update User"" button.
4. Observe ""Email"" field.","1. Field border becomes highlighted in purple.
2. The input should be deleted successfully, input field remaining empty.
3. Btn should be visible and clickable.
4a. ""Email"" filed border becomes highlighted in red color.
4b. ""Email is required"" message appears in red color under the field.
4c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC129,Invalid Email,The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Email"" field.
2. Add an invalid email format (e.g without ""@"").
3. Click ""Update User"" button.","1. Field border becomes highlighted in purple.
2. New data is correctly added and remain visible.
3. Btn should be visible and clickable.
4. Error message ""Email is invalid"" toast is shown.",,Pass,No
TC130,Duplicate Email,The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Email"" field.
2. Add a duplicate email.
3. Click ""Update User"" button.","1. Field border becomes highlighted in purple.
2. New data is correctly added and remain visible.
3. Btn should be visible and clickable.
4. Error message ""Email must be unique"" is shown.",,Pass,No
TC131,Invalid Password (minimum required characters),The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Password"" field.
2. Fill field with less than 8 characters.
3. Click ""Create User"" button.
4. Observe ""Password"" input field.
","1. Field border becomes highlighted in purple.
2. Characters are added to the field as dots (hidden).
3. Btn should be visible and clickable.
4a. Password field border is red highlighted.
4b. Exclamation mark icon should be displayed at the end of the input field.
4c. ""Password must be at least 8 characters"" error message is shown.
",,Pass,No
TC132,Validate show/hide password,The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Password"" field.
2. Add valid password.
3. Click on hide/show (eye) icon at the end of the password field.","1. Field border becomes highlighted in purple.
2. Input is correctly added, characters are hidden and displayed as dots. 
3. Password characters are now visible and hide/show icon changes indicating that characters are no longer hidden.",,Pass,No
TC133, Validate Department Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a Admin user,"1. Click on ""Department"" field.
2. Click on a department name.
3. Click on the ""X"" mark at the end of the department name.","1. Dropdown with existing deaprtments should open.
2. Selected department should be visible inside the field.
3. Department field should be empty.",,Pass,
TC134, Verify Search Functionality in Department Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a Admin user,"1. Click on the ""Department"" field.
2. Type an existing department.
3. Type a non-existing department.","1a. Department dropdown with options should open.
1b. Department field should become editable.
2. Matching department should be displayed in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",,Pass,
TC135,Validate Department Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a Admin user,"1. Click on the ""Department"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with department options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional department options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
TC136, Validate Managed Departments Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a Admin user,"1. Click on ""Managed Departments"" field.
2. Click on a department name.
3. Click on multiple department names.
4. Click on the ""X"" mark at the end of the department names.","1. Dropdown with existing deaprtments should open.
2. Selected department should be visible inside the field.
3. User should be able to add multiple departments  →  Department names should be visible inside the Managed Departments field.
4. Departments should disappear from the Managed Departments field.",,Pass,
TC137,Verify Search Functionality in Managed Departments Dropdown,The user is logged in as an Admin and is on the Edit User page of a Admin user,"1. Click on the ""Managed Departments"" field.
2. Type an existing department.
3. Type a non-existing department.","1a. Dropdown with department options should open.
1b. Managed Departments field should become editable.
2. Matching department should be visible in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",,Pass,
TC138,Validate Managed Departments Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a Admin user,"1. Click on the ""Managed Departments"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with department options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional department options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
TC139,Validate Linked Behavior Between Departments and Managed Departments Dropdowns,The user is logged in as an Admin and is on the Edit User page of a Admin user,"1. Click on Managed Departments dropdown.
2. Select a departments from the dropdown.
3. Click on ""x"" mark at the end of the department name in the Departments dropdown.","1. Dropdown with all existing departments should be visible.
2a. Selected department name should be visible inside the Managed Departments dropdown.
2b. Selected department name should be visible inside the Departments dropdown.
3a. Department name should not be visible inside the Departments dropdown.
3b. Department name should not be visible inside the Managed Departments dropdown.",,Pass,
TC140, Validate Team Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a Admin user,"1. Click on ""Team"" field.
2. Click on a team name.
3. Click on the ""X"" mark at the end of the team name.","1. Dropdown with existing teams should open.
2. Selected team should be visible inside the field.
3. Team field should be empty.",,Pass,
TC141,Verify Search Functionality in the Team Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a Admin user,"1. Click on the ""Team"" field.
2. Type an existing team name.
3. Type a non-existing team name.","1a. Team dropdown with options should open.
1b. Team field should become editable.
2. Matching team name should be displayed in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",,Pass,
TC142,Validate Team Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a Admin user,"1. Click on the ""Team"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with team options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional team options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
TC143, Validate Managed Teams Dropdown Field,The user is logged in as an Admin and is on the Edit User page of an Admin user,"1. Click on ""Managed Teams"" field.
2. Click on a team name.
3. Click on multiple team names.
4. Click on the ""X"" mark at the end of the team names.","1. Dropdown with existing teams should open.
2. Selected team should be visible inside the field.
3. User should be able to add multiple teams →  Team names should be visible inside the Managed Teams field.
4. Teams should disappear from the Managed Teams field.",,Pass,
TC144,Verify Search Functionality in Managed Teams Dropdown,The user is logged in as an Admin and is on the Edit User page of an Admin user,"1. Click on the ""Managed Teams"" field.
2. Type an existing team name.
3. Type a non-existing team name.","1a. Dropdown with team options should open.
1b. Managed Teams field should become editable.
2. Matching team should be visible in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",,Pass,
